DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2015,31881,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2016,31609,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2017,31168,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2018,30053,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2019,30023,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2020,28714,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2021,28605,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2022,27673,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Bulgaria,2023,27879,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Belarus,2014,57258,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Belarus,2015,57651,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Belarus,2016,57132,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Belarus,2017,49844,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Belarus,2018,45802,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2013,40136,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2014,41437,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2015,41910,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2016,42951,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2017,42508,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2018,42838,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2019,42049,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2020,41615,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2021,43716,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2022,39907,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Switzerland,2023,38976,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2013,4605,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2014,4391,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2015,4346,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2016,4568,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2017,4464,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2018,4558,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2019,4698,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2020,4740,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2021,5039,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2022,4904,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Cyprus,2023,4958,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2013,52049,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2014,53450,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2015,53947,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2016,54826,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2017,55734,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2018,55780,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2019,54646,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2020,53924,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2021,54614,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2022,49312,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Czechia,2023,44239,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2013,332249,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2014,348092,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2015,359097,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2016,386554,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2017,382384,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2018,383471,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2019,378798,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2020,375759,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2021,387018,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2022,359708,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Germany,2023,337690,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2013,27283,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2014,27616,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2015,28357,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2016,29833,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2017,29930,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2018,29865,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2019,29648,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2020,29762,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2021,30901,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2022,28302,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Denmark,2023,27915,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2013,1593573,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2014,1608006,,
ESTAT:EQ_FER05(1.0),27/03/25 23:00:00,Annual,Live births - females,Euro area - 19 countries  (2015-2022),2015,1595552,,
